,paircolors,pairshapes,pairstripes,item1name,item1features,item2name,item2feature,colormatch,shapematch,stripematch,colshstr_match,mybinary,totalmatch
1,"('blue', 'blue')","('triangle', 'triangle')","('horizontal', 'horizontal')",1,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'horizontal'}",1,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'horizontal'}",1,1,1,111,111,3
2,"('blue', 'blue')","('triangle', 'triangle')","('horizontal', 'vertical')",1,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'horizontal'}",2,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'vertical'}",1,1,0,110,110,2
3,"('blue', 'blue')","('triangle', 'triangle')","('horizontal', 'diagonal')",1,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'horizontal'}",3,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'diagonal'}",1,1,0,110,110,2
4,"('blue', 'blue')","('triangle', 'square')","('horizontal', 'horizontal')",1,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'horizontal'}",4,"{'color': 'blue', 'shape': 'square', 'stripes': 'horizontal'}",1,0,1,101,101,2
5,"('blue', 'blue')","('triangle', 'square')","('horizontal', 'vertical')",1,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'horizontal'}",5,"{'color': 'blue', 'shape': 'square', 'stripes': 'vertical'}",1,0,0,100,100,1
6,"('blue', 'blue')","('triangle', 'square')","('horizontal', 'diagonal')",1,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'horizontal'}",6,"{'color': 'blue', 'shape': 'square', 'stripes': 'diagonal'}",1,0,0,100,100,1
7,"('blue', 'blue')","('triangle', 'circle')","('horizontal', 'horizontal')",1,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'horizontal'}",7,"{'color': 'blue', 'shape': 'circle', 'stripes': 'horizontal'}",1,0,1,101,101,2
8,"('blue', 'blue')","('triangle', 'circle')","('horizontal', 'vertical')",1,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'horizontal'}",8,"{'color': 'blue', 'shape': 'circle', 'stripes': 'vertical'}",1,0,0,100,100,1
9,"('blue', 'blue')","('triangle', 'circle')","('horizontal', 'diagonal')",1,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'horizontal'}",9,"{'color': 'blue', 'shape': 'circle', 'stripes': 'diagonal'}",1,0,0,100,100,1
10,"('blue', 'green')","('triangle', 'triangle')","('horizontal', 'horizontal')",1,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'horizontal'}",10,"{'color': 'green', 'shape': 'triangle', 'stripes': 'horizontal'}",0,1,1,011,11,2
11,"('blue', 'green')","('triangle', 'triangle')","('horizontal', 'vertical')",1,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'horizontal'}",11,"{'color': 'green', 'shape': 'triangle', 'stripes': 'vertical'}",0,1,0,010,10,1
12,"('blue', 'green')","('triangle', 'triangle')","('horizontal', 'diagonal')",1,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'horizontal'}",12,"{'color': 'green', 'shape': 'triangle', 'stripes': 'diagonal'}",0,1,0,010,10,1
13,"('blue', 'green')","('triangle', 'square')","('horizontal', 'horizontal')",1,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'horizontal'}",13,"{'color': 'green', 'shape': 'square', 'stripes': 'horizontal'}",0,0,1,001,1,1
14,"('blue', 'green')","('triangle', 'square')","('horizontal', 'vertical')",1,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'horizontal'}",14,"{'color': 'green', 'shape': 'square', 'stripes': 'vertical'}",0,0,0,000,0,0
15,"('blue', 'green')","('triangle', 'square')","('horizontal', 'diagonal')",1,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'horizontal'}",15,"{'color': 'green', 'shape': 'square', 'stripes': 'diagonal'}",0,0,0,000,0,0
16,"('blue', 'green')","('triangle', 'circle')","('horizontal', 'horizontal')",1,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'horizontal'}",16,"{'color': 'green', 'shape': 'circle', 'stripes': 'horizontal'}",0,0,1,001,1,1
17,"('blue', 'green')","('triangle', 'circle')","('horizontal', 'vertical')",1,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'horizontal'}",17,"{'color': 'green', 'shape': 'circle', 'stripes': 'vertical'}",0,0,0,000,0,0
18,"('blue', 'green')","('triangle', 'circle')","('horizontal', 'diagonal')",1,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'horizontal'}",18,"{'color': 'green', 'shape': 'circle', 'stripes': 'diagonal'}",0,0,0,000,0,0
19,"('blue', 'red')","('triangle', 'triangle')","('horizontal', 'horizontal')",1,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'horizontal'}",19,"{'color': 'red', 'shape': 'triangle', 'stripes': 'horizontal'}",0,1,1,011,11,2
20,"('blue', 'red')","('triangle', 'triangle')","('horizontal', 'vertical')",1,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'horizontal'}",20,"{'color': 'red', 'shape': 'triangle', 'stripes': 'vertical'}",0,1,0,010,10,1
21,"('blue', 'red')","('triangle', 'triangle')","('horizontal', 'diagonal')",1,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'horizontal'}",21,"{'color': 'red', 'shape': 'triangle', 'stripes': 'diagonal'}",0,1,0,010,10,1
22,"('blue', 'red')","('triangle', 'square')","('horizontal', 'horizontal')",1,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'horizontal'}",22,"{'color': 'red', 'shape': 'square', 'stripes': 'horizontal'}",0,0,1,001,1,1
23,"('blue', 'red')","('triangle', 'square')","('horizontal', 'vertical')",1,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'horizontal'}",23,"{'color': 'red', 'shape': 'square', 'stripes': 'vertical'}",0,0,0,000,0,0
24,"('blue', 'red')","('triangle', 'square')","('horizontal', 'diagonal')",1,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'horizontal'}",24,"{'color': 'red', 'shape': 'square', 'stripes': 'diagonal'}",0,0,0,000,0,0
25,"('blue', 'red')","('triangle', 'circle')","('horizontal', 'horizontal')",1,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'horizontal'}",25,"{'color': 'red', 'shape': 'circle', 'stripes': 'horizontal'}",0,0,1,001,1,1
26,"('blue', 'red')","('triangle', 'circle')","('horizontal', 'vertical')",1,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'horizontal'}",26,"{'color': 'red', 'shape': 'circle', 'stripes': 'vertical'}",0,0,0,000,0,0
27,"('blue', 'red')","('triangle', 'circle')","('horizontal', 'diagonal')",1,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'horizontal'}",27,"{'color': 'red', 'shape': 'circle', 'stripes': 'diagonal'}",0,0,0,000,0,0
28,"('blue', 'blue')","('triangle', 'triangle')","('vertical', 'horizontal')",2,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'vertical'}",1,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'horizontal'}",1,1,0,110,110,2
29,"('blue', 'blue')","('triangle', 'triangle')","('vertical', 'vertical')",2,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'vertical'}",2,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'vertical'}",1,1,1,111,111,3
30,"('blue', 'blue')","('triangle', 'triangle')","('vertical', 'diagonal')",2,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'vertical'}",3,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'diagonal'}",1,1,0,110,110,2
31,"('blue', 'blue')","('triangle', 'square')","('vertical', 'horizontal')",2,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'vertical'}",4,"{'color': 'blue', 'shape': 'square', 'stripes': 'horizontal'}",1,0,0,100,100,1
32,"('blue', 'blue')","('triangle', 'square')","('vertical', 'vertical')",2,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'vertical'}",5,"{'color': 'blue', 'shape': 'square', 'stripes': 'vertical'}",1,0,1,101,101,2
33,"('blue', 'blue')","('triangle', 'square')","('vertical', 'diagonal')",2,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'vertical'}",6,"{'color': 'blue', 'shape': 'square', 'stripes': 'diagonal'}",1,0,0,100,100,1
